areaCode,areaName,areaType,date,cumDailyNsoDeathsByDeathDate,hospitalCases,newCasesBySpecimenDate
E92000001,England,nation,2020-11-03,56164,10971,22307
E92000001,England,nation,2020-11-02,55860,10397,27928
E92000001,England,nation,2020-11-01,55581,9623,13369
E92000001,England,nation,2020-10-31,55298,9782,14346
E92000001,England,nation,2020-10-30,55021,9295,19644
E92000001,England,nation,2020-10-29,54737,9127,19961
E92000001,England,nation,2020-10-28,54484,9070,20233
E92000001,England,nation,2020-10-27,54256,8595,20484
E92000001,England,nation,2020-10-26,54030,7856,22750
E92000001,England,nation,2020-10-25,53812,7612,13161
E92000001,England,nation,2020-10-24,53605,7176,13521
E92000001,England,nation,2020-10-23,53431,6842,18105
E92000001,England,nation,2020-10-22,53248,6345,19607
E92000001,England,nation,2020-10-21,53062,6271,21478
E92000001,England,nation,2020-10-20,52866,6072,21330
E92000001,England,nation,2020-10-19,52689,5644,22104
E92000001,England,nation,2020-10-18,52534,5202,11856
E92000001,England,nation,2020-10-17,52410,5029,12355
E92000001,England,nation,2020-10-16,52242,4854,14547
E92000001,England,nation,2020-10-15,52117,4569,15235
E92000001,England,nation,2020-10-14,51993,4313,16441
E92000001,England,nation,2020-10-13,51889,4105,15435
E92000001,England,nation,2020-10-12,51795,3827,16196
E92000001,England,nation,2020-10-11,51701,3604,9655
E92000001,England,nation,2020-10-10,51595,3369,10151
E92000001,England,nation,2020-10-09,51508,3238,13009
E92000001,England,nation,2020-10-08,51426,3179,15263
E92000001,England,nation,2020-10-07,51346,3066,15185
E92000001,England,nation,2020-10-06,51258,2903,14290
E92000001,England,nation,2020-10-05,51189,2705,14034
E92000001,England,nation,2020-10-04,51135,2435,9832
E92000001,England,nation,2020-10-03,51080,2290,9697
E92000001,England,nation,2020-10-02,51024,2180,11574
E92000001,England,nation,2020-10-01,50955,2069,11302
E92000001,England,nation,2020-09-30,50899,2036,10522
E92000001,England,nation,2020-09-29,50846,1954,8715
E92000001,England,nation,2020-09-28,50804,1955,8575
E92000001,England,nation,2020-09-27,50757,1793,6025
E92000001,England,nation,2020-09-26,50708,1689,5648
E92000001,England,nation,2020-09-25,50665,1686,6030
E92000001,England,nation,2020-09-24,50630,1546,6292
E92000001,England,nation,2020-09-23,50597,1439,5883
E92000001,England,nation,2020-09-22,50545,1378,5354
E92000001,England,nation,2020-09-21,50513,1299,4697
E92000001,England,nation,2020-09-20,50487,1174,4626
E92000001,England,nation,2020-09-19,50453,1081,4175
E92000001,England,nation,2020-09-18,50431,1020,4273
E92000001,England,nation,2020-09-17,50406,984,3939
E92000001,England,nation,2020-09-16,50372,929,3743
E92000001,England,nation,2020-09-15,50347,891,3036
E92000001,England,nation,2020-09-14,50325,812,2893
E92000001,England,nation,2020-09-13,50308,691,1708
E92000001,England,nation,2020-09-12,50290,663,2205
E92000001,England,nation,2020-09-11,50269,622,2857
E92000001,England,nation,2020-09-10,50254,572,3099
E92000001,England,nation,2020-09-09,50239,557,2849
E92000001,England,nation,2020-09-08,50229,535,3000
E92000001,England,nation,2020-09-07,50214,555,3459
E92000001,England,nation,2020-09-06,50194,483,2056
E92000001,England,nation,2020-09-05,50181,471,2189
E92000001,England,nation,2020-09-04,50169,474,2591
E92000001,England,nation,2020-09-03,50155,468,2662
E92000001,England,nation,2020-09-02,50149,451,2617
E92000001,England,nation,2020-09-01,50136,496,1928
E92000001,England,nation,2020-08-31,50127,495,1259
E92000001,England,nation,2020-08-30,50111,479,976
E92000001,England,nation,2020-08-29,50103,478,1041
E92000001,England,nation,2020-08-28,50095,469,1381
E92000001,England,nation,2020-08-27,50084,492,1326
E92000001,England,nation,2020-08-26,50073,485,1138
E92000001,England,nation,2020-08-25,50058,500,1062
E92000001,England,nation,2020-08-24,50039,522,1131
E92000001,England,nation,2020-08-23,50031,522,697
